100,1824
99,39814
98,1300
97,18400
96,32126
95,37142
94,3646
93,21170
92,1288
91,4254
90,38470
89,316
88,4382
87,920
86,39174
85,25190
84,36526
83,1224
82,38654
81,3288
80,39814
79,16070
78,1772
77,25294
76,13118
75,416
74,2162
73,38546
72,37770
71,16901
70,39174
69,37446
68,22400
67,2720
66,37066
65,39774
64,208
63,38490
62,3398
61,13034
60,2524
59,7160
58,1572
57,0
56,37098
55,21422
54,1084
53,38594
52,3384
51,3640
50,2648
49,39274
48,28852
47,36190
46,12592
45,39814
44,37734
43,38414
42,35560
41,648
40,19864
39,9828
38,39814
37,22
36,37470
35,1264
34,37750
33,4600
32,6272
31,39182
30,1080
29,812
28,2330
27,34454
26,38930
25,39814
24,3646
23,19476
22,37854
21,3176
20,39814
19,38914
18,28734
17,37424
16,0
15,1844
14,1172
13,39200
12,3288
11,36448
10,30298
9,39814
8,0
7,374
6,34360
5,812
4,32834
3,2390
2,6380
1,13366
-1,26448
-2,33434
-3,37424
-4,6980
-5,39002
-6,5454
-7,39440
-8,39814
-9,0
-10,9516
-11,3366
-12,36526
-13,614
-14,38642
-15,37970
-16,39814
-17,2390
-18,11080
-19,900
-20,0
-21,36638
-22,1960
-23,20338
-24,36168
-25,0
-26,884
-27,5360
-28,37484
-29,39002
-30,38734
-31,632
-32,33542
-33,35214
-34,2064
-35,38550
-36,2344
-37,39792
-38,0
-39,29986
-40,19950
-41,39166
-42,4254
-43,1400
-44,2080
-45,0
-46,27222
-47,3624
-48,10962
-49,540
-50,37166
-51,36174
-52,36430
-53,1220
-54,38730
-55,18392
-56,2716
-57,39814
-58,38242
-59,32654
-60,37290
-61,26780
-62,36416
-63,1324
-64,39606
-65,40
-66,2748
-67,37094
-68,17414
-69,2368
-70,640
-71,22913
-72,2044
-73,1268
-74,37652
-75,39398
-76,26696
-77,14520
-78,38042
-79,23744
-80,0
-81,36526
-82,1160
-83,38590
-84,3288
-85,14624
-86,640
-87,38894
-88,35432
-89,39498
-90,1344
-91,35560
-92,38526
-93,18644
-94,36168
-95,2672
-96,7688
-97,21414
-98,38514
-99,0
-100,37990
