100,70488
99,624
98,44960
97,95984
96,100384
95,90752
94,8044
93,464
92,460
91,100576
90,100248
89,5344
88,1176
87,101040
86,48624
85,13440
84,46872
83,93072
82,21520
81,64272
80,57136
79,51968
78,17920
77,0
76,100528
75,18496
74,92960
73,101024
72,101040
71,100384
70,47024
69,99376
68,97960
67,15920
66,9680
65,100912
64,100648
63,100384
62,44752
61,93072
60,28848
59,1120
58,99500
57,98720
56,100384
55,92704
54,73344
53,0
52,98928
51,56288
50,97496
49,59744
48,92720
47,63728
46,101040
45,7968
44,11808
43,42000
42,100384
41,100872
40,30480
39,100912
38,39536
37,2768
36,100672
35,101040
34,57632
33,31632
32,100944
31,36116
30,54504
29,96016
28,36976
27,72
26,560
25,1152
24,96576
23,7968
22,16
21,99232
20,87392
19,101040
18,71344
17,216
16,0
15,93048
14,88544
13,16432
12,100832
11,97456
10,100048
9,84592
8,1344
7,30112
6,128
5,100384
4,100368
3,0
2,16
1,101040
-1,0
-2,101024
-3,101040
-4,672
-5,656
-6,100912
-7,70928
-8,99696
-9,16448
-10,992
-11,3584
-12,208
-13,84608
-14,12496
-15,7992
-16,101040
-17,100824
-18,29696
-19,0
-20,13648
-21,1808
-22,101024
-23,93072
-24,4464
-25,99888
-26,100480
-27,100968
-28,64064
-29,5024
-30,46536
-31,64924
-32,96
-33,69408
-34,43408
-35,0
-36,368
-37,98272
-38,61504
-39,128
-40,70560
-41,168
-42,656
-43,59040
-44,89232
-45,93072
-46,0
-47,37312
-48,8320
-49,41296
-50,3544
-51,44752
-52,2112
-53,101040
-54,27696
-55,8336
-56,656
-57,2320
-58,1540
-59,99920
-60,72192
-61,7968
-62,56288
-63,656
-64,392
-65,128
-66,91360
-67,85120
-68,3080
-69,1664
-70,54016
-71,656
-72,0
-73,16
-74,8080
-75,82544
-76,512
-77,101040
-78,83120
-79,49072
-80,43904
-81,36768
-82,79520
-83,7968
-84,54168
-85,87600
-86,52416
-87,0
-88,99864
-89,95696
-90,792
-91,464
-92,100580
-93,100576
-94,92996
-95,10288
-96,656
-97,5056
-98,56080
-99,100416
-100,30552
